opening_year_method,n_facilities
baxtel:/data-center/microsoft-trp2,1
baxtel:/data-center/microsoft-trp1,1
baxtel:/data-center/microsoft-san-antonio-sat16,1
baxtel:/data-center/microsoft-iad11,1
baxtel:/data-center/microsoft-hyd01-bldg-2,1
baxtel:/data-center/valero-wiserman,1
baxtel:/data-center/microsoft-gainesville-va,1
baxtel:/data-center/microsoft-eat04,1
baxtel:/data-center/microsoft-eat03,1
baxtel:/data-center/microsoft-chicago-northlake,1
baxtel:/data-center/microsoft-boydton-va,1
baxtel:/data-center/vantage-santa-clara-ca2,1
baxtel:/data-center/meta-los-lunas-campus,1
baxtel:/data-center/netrality-chicago-717-s-wells,1
baxtel:/data-center/ntt-ch2,1
baxtel:/data-center/turnkey-internet-albany,1
baxtel:/data-center/tjx-corporate-techno,1
baxtel:/data-center/ntt-va7,1
baxtel:/data-center/ntt-va5,1
baxtel:/data-center/ntt-va4,1
baxtel:/data-center/ntt-va3,1
baxtel:/data-center/tierpoint-valley-forge,1
baxtel:/data-center/ntt-va2,1
baxtel:/data-center/ntt-va11,1
baxtel:/data-center/ntt-ch3,1
baxtel:/data-center/ntt-va1,1
baxtel:/data-center/flexential-brentwood,1
baxtel:/data-center/tulsaconnect-dc3,1
baxtel:/data-center/ntt-data-quincy,1
baxtel:/data-center/ntt-chicago-ch4,1
baxtel:/data-center/ntt-chicago-ch1,1
baxtel:/data-center/ntt-silicon-valley-sv1,1
baxtel:/data-center/1780-business-center-drive-va3-digital-realty,1
baxtel:/data-center/flexential-aurora-cornell,1
baxtel:/data-center/amazon-iad86,1
baxtel:/data-center/cloudhq-lc3,1
baxtel:/data-center/cloudhq-lc2,1
baxtel:/data-center/cisco-allen,1
baxtel:/data-center/centersquare-secaucus-nyc3,1
baxtel:/data-center/centersquare-phx1,1
baxtel:/data-center/centersquare-lynnwood-sea1,1
baxtel:/data-center/centersquare-lisle-chi1,1
baxtel:/data-center/centersquare-iad2-b,1
baxtel:/data-center/centersquare-iad2-a,1
baxtel:/data-center/centersquare-chicago-ord2,1
baxtel:/data-center/centersquare-chicago-ord1,1
baxtel:/data-center/centersquare-atl1,1
baxtel:/data-center/centersquare-allen-dfw2,1
baxtel:/data-center/bt-radianz-492-river-road,1
baxtel:/data-center/bny-mellon-somerset,1
baxtel:/data-center/blue-nap-americas-curacao,1
baxtel:/data-center/ark-duluth,1
baxtel:/data-center/applied-digital-polaris-forge-1,1
baxtel:/data-center/applied-digital-ellendale-crypto-mine,1
baxtel:/data-center/cloudhq-manassas-mcc1,1
baxtel:/data-center/cloudhq-mcc2,1
baxtel:/data-center/cloudhq-mcc3,1
baxtel:/data-center/coresite-sv5,1
