state,utility_number,utility_name,ownership,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers,n_service_area_features,service_area_states_sampled,dc_group
NV,2008,City of Boulder City - (NV),Municipal,7145.0,10.373784211716806,128.37648705388384,0,0.0,1,NV,low_dc
OH,10668,Licking Rural Electric Inc,Cooperative,25820.0,16.8795093573955,177.74367415440227,32,123.93493415956621,1,OH,high_dc
OH,4065,City of Columbus - (OH),Municipal,15510.0,11.32386507735227,62.37373737373738,18,116.05415860735009,1,OH,high_dc
OH,19501,"Union Rural Electric Coop, Inc",Cooperative,11812.0,15.67384906071727,182.59397223162887,8,67.72773450728073,1,OH,high_dc
OH,3762,City of Cleveland - (OH),Municipal,64914.0,14.867952931861629,73.28426841667437,4,6.161998952460178,1,OH,high_dc
OH,3755,Cleveland Electric Illum Co,Investor Owned,131370.0,16.75931330913958,103.26266778310624,0,0.0,1,OH,low_dc
OH,7977,City of Hamilton - (OH),Municipal,26964.0,15.437732079391548,119.8789744350492,0,0.0,1,OH,low_dc
OH,4683,City of Cuyahoga Falls - (OH),Municipal,24349.0,13.017930124510093,79.6884197845223,0,0.0,1,OH,low_dc
OH,12990,Consolidated Cooperative,Cooperative,16897.0,16.108159333830475,204.54321279911622,0,0.0,1,OH,low_dc
OH,15054,"Pioneer Rural Elec Coop, Inc - (OH)",Cooperative,16310.0,16.181935422239206,207.71612507664008,0,0.0,1,OH,low_dc
OH,20477,City of Westerville - (OH),Municipal,15713.0,13.190185812072901,121.7145039139566,0,0.0,1,OH,low_dc
OH,7891,Guernsey-Muskingum El Coop Inc,Cooperative,15289.0,17.997331356560416,165.41304205638042,0,0.0,1,OH,low_dc
OH,11200,"Lorain-Medina R E C, Inc",Cooperative,15234.0,17.262152916652944,200.67885431709772,0,0.0,1,OH,low_dc
OH,8761,Holmes-Wayne Electric Coop Inc,Cooperative,14714.0,16.517231686062853,166.390285895519,0,0.0,1,OH,low_dc
OH,2054,City of Bowling Green - (OH),Municipal,13068.0,15.362489112159945,96.72482399755127,0,0.0,1,OH,low_dc
OH,19951,City of Wadsworth - (OH),Municipal,12180.0,11.987937997072672,93.02134646962234,0,0.0,1,OH,low_dc
OH,13602,City of Niles - (OH),Municipal,11882.0,9.31343964708567,51.52752061942434,0,0.0,1,OH,low_dc
OH,14381,City of Painesville,Municipal,10832.0,12.749648137162533,84.3257631708518,0,0.0,1,OH,low_dc
